"Region","UN Country Team","UNDAF/Cooperation Framework","Status","Start Date","End Date","Next Cooperation Framework plan"
"Africa","Zimbabwe","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2027","Dec 2031","Yes"
"Africa","Zimbabwe","UNSDCF 2022 - 2026","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2022","Dec 2026",""
"Africa","Uganda","United Nations Sustainable Development Cooperation Framework (2026-2030)","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2026","Dec 2030","Yes"
"Africa","Uganda","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2021","Dec 2025",""
"Africa","Ghana","United Nations Sustainable Development Cooperation Framework (2026-2030)","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2026","Dec 2030","Yes"
"Africa","Ghana","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2023","Dec 2025",""
"Africa","Nigeria","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation","Jan 2023","Dec 2027",""
"Africa","Morocco","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation","Jan 2023","Dec 2027",""
"Africa","Malawi","United Nations Sustainable Development Cooperation Framework (2024-2028)","Cooperation Framework under implementation","Jan 2024","Dec 2028",""
"Africa","Cabo Verde","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation","Jan 2023","Dec 2027",""
"Africa","Tunisia","United Nations Sustainable Development Cooperation Framework (2027-2031)","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2027","Dec 2031","Yes"
"Africa","Tunisia","Tunisia - Plan cadre des Nations Unies pour l'aide au développement 2021 – 2026","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2021","Dec 2026",""
"Africa","Zambia","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation","Jan 2023","Dec 2027",""
"Africa","Mozambique","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2027","Dec 2031","Yes"
"Africa","Mozambique","United Nations Sustainable Development Cooperation Framework (UNSDCF) 2022-2026","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2022","Dec 2026",""
"Africa","South Africa","United Nations Sustainable Development Cooperation Framework (2026-2030)","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2026","Dec 2030","Yes"
"Africa","South Africa","UNSDCF - SOUTH AFRICA 2020-2025","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2020","Dec 2025",""
"Africa","Tanzania","United Nations Sustainable Development Cooperation Framework 2022 - 2027","Cooperation Framework under implementation","Jul 2022","Jun 2027",""
"Africa","Togo","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2027","Dec 2031","Yes"
"Africa","Togo","CADRE DE COOPERATION POUR LE DEVELOPPEMENT DURABLE 2023-2026","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2023","Dec 2026",""
"Africa","Chad","United Nations Sustainable Development Cooperation Framework","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2027","Dec 2030","Yes"
"Africa","Chad","United Nations Sustainable Development Cooperation Framework (2024-2026)","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2024","Dec 2026",""
"Africa","Seychelles","United Nations Sustainable Development Cooperation Framework (2024-2028)","Cooperation Framework under implementation","Jan 2024","Dec 2028",""
"Africa","Eswatini","United Nations Sustainable Development Cooperation Framework (2026-2030)","Cooperation Framework under implementation and designing a new Cooperation Framework","Jan 2026","Dec 2030","Yes"
