# https://www.un.org/dgacm/en/content/regional-groups
# Turkey assigned to Group of Western European and other States based on electoral assignment

country                                               ,regional_group
Algeria                                               ,African States
Eswatini                                              ,African States
Namibia                                               ,African States
Angola                                                ,African States
Ethiopia                                              ,African States
Niger                                                 ,African States
Benin                                                 ,African States
Gabon                                                 ,African States
Nigeria                                               ,African States
Botswana                                              ,African States
Gambia                                                ,African States
Rwanda                                                ,African States
Burkina Faso                                          ,African States
Ghana                                                 ,African States
Sao Tome and Principe                                 ,African States
Burundi                                               ,African States
Guinea                                                ,African States
Senegal                                               ,African States
Cabo Verde                                            ,African States
Guinea-Bissau                                         ,African States
Seychelles                                            ,African States
Cameroon                                              ,African States
Kenya                                                 ,African States
Sierra Leone                                          ,African States
Central African Republic                              ,African States
Lesotho                                               ,African States
Somalia                                               ,African States
Chad                                                  ,African States
Liberia                                               ,African States
South Africa                                          ,African States
Comoros                                               ,African States
Libya                                                 ,African States
South Sudan                                           ,African States
Congo                                                 ,African States
Madagascar                                            ,African States
Sudan                                                 ,African States
Côte d'Ivoire                                         ,African States
Malawi                                                ,African States
Togo                                                  ,African States
Democratic Republic of the Congo                      ,African States
Mali                                                  ,African States
Tunisia                                               ,African States
Djibouti                                              ,African States
Mauritania                                            ,African States
Uganda                                                ,African States
Egypt                                                 ,African States
Mauritius                                             ,African States
United Republic of Tanzania                           ,African States
Equatorial Guinea                                     ,African States
Morocco                                               ,African States
Zambia                                                ,African States
Eritrea                                               ,African States
Mozambique                                            ,African States
Zimbabwe                                              ,African States
Afghanistan                                           ,Asia-Pacific States
Kyrgyzstan                                            ,Asia-Pacific States
Samoa                                                 ,Asia-Pacific States
Bahrain                                               ,Asia-Pacific States
Lao People's Democratic Republic                      ,Asia-Pacific States
Saudi Arabia                                          ,Asia-Pacific States
Bangladesh                                            ,Asia-Pacific States
Lebanon                                               ,Asia-Pacific States
Singapore                                             ,Asia-Pacific States
Bhutan                                                ,Asia-Pacific States
Malaysia                                              ,Asia-Pacific States
Solomon Islands                                       ,Asia-Pacific States
Brunei Darussalam                                     ,Asia-Pacific States
Maldives                                              ,Asia-Pacific States
Sri Lanka                                             ,Asia-Pacific States
Cambodia                                              ,Asia-Pacific States
Marshall Islands                                      ,Asia-Pacific States
Syrian Arab Republic                                  ,Asia-Pacific States
China                                                 ,Asia-Pacific States
Micronesia (Federated States of)                      ,Asia-Pacific States
Tajikistan                                            ,Asia-Pacific States
Cyprus                                                ,Asia-Pacific States
Mongolia                                              ,Asia-Pacific States
Thailand                                              ,Asia-Pacific States
Democratic People's Republic of Korea                 ,Asia-Pacific States
Myanmar                                               ,Asia-Pacific States
Timor-Leste                                           ,Asia-Pacific States
Fiji                                                  ,Asia-Pacific States
Nauru                                                 ,Asia-Pacific States
Tonga                                                 ,Asia-Pacific States
India                                                 ,Asia-Pacific States
Nepal                                                 ,Asia-Pacific States
Indonesia                                             ,Asia-Pacific States
Oman                                                  ,Asia-Pacific States
Turkmenistan                                          ,Asia-Pacific States
Iran (Islamic Republic of)                            ,Asia-Pacific States
Pakistan                                              ,Asia-Pacific States
Tuvalu                                                ,Asia-Pacific States
Iraq                                                  ,Asia-Pacific States
Palau                                                 ,Asia-Pacific States
United Arab Emirates                                  ,Asia-Pacific States
Japan                                                 ,Asia-Pacific States
Papua New Guinea                                      ,Asia-Pacific States
Uzbekistan                                            ,Asia-Pacific States
Jordan                                                ,Asia-Pacific States
Philippines                                           ,Asia-Pacific States
Vanuatu                                               ,Asia-Pacific States
Kazakhstan                                            ,Asia-Pacific States
Qatar                                                 ,Asia-Pacific States
Viet Nam                                              ,Asia-Pacific States
Kiribati                                              ,Asia-Pacific States
Republic of Korea                                     ,Asia-Pacific States
Yemen                                                 ,Asia-Pacific States
