"country","globalSouthCountries_globalSouth"
"India","Yes"
"China","Yes"
"United States","No"
"Indonesia","Yes"
"Pakistan","Yes"
"Nigeria","Yes"
"Brazil","Yes"
"Bangladesh","Yes"
"Russia","No"
"Ethiopia","Yes"
"Mexico","No"
"Japan","No"
"Egypt","Yes"
"Philippines","Yes"
"DR Congo","Yes"
"Vietnam","Yes"
"Iran","Yes"
"Turkey","No"
"Germany","No"
"Thailand","Yes"
"United Kingdom","No"
"Tanzania","Yes"
"France","No"
"South Africa","Yes"
"Italy","No"
"Kenya","Yes"
"Myanmar","Yes"
"Colombia","Yes"
"South Korea","No"
"Sudan","Yes"
"Uganda","Yes"
"Spain","No"
"Algeria","Yes"
"Iraq","Yes"
"Argentina","Yes"
"Afghanistan","Yes"
"Yemen","Yes"
"Canada","No"
"Poland","No"
"Morocco","Yes"
"Angola","Yes"
"Ukraine","No"
"Uzbekistan","No"
"Malaysia","Yes"
"Mozambique","Yes"
"Ghana","Yes"
"Peru","Yes"
"Saudi Arabia","Yes"
"Madagascar","Yes"
"Ivory Coast","Yes"
"Nepal","Yes"
"Cameroon","Yes"
"Venezuela","Yes"
"Niger","Yes"
"Australia","No"
"North Korea","Yes"
"Syria","Yes"
"Mali","Yes"
"Burkina Faso","Yes"
"Sri Lanka","Yes"
"Malawi","Yes"
"Zambia","Yes"
"Kazakhstan","No"
"Chad","Yes"
"Chile","Yes"
"Romania","No"
"Somalia","Yes"
"Senegal","Yes"
"Guatemala","Yes"
"Netherlands","No"
"Ecuador","Yes"
"Cambodia","Yes"
"Zimbabwe","Yes"
"Guinea","Yes"
"Benin","Yes"
"Rwanda","Yes"
"Burundi","Yes"
"Bolivia","Yes"
"Tunisia","Yes"
"South Sudan","Yes"
"Haiti","Yes"
"Belgium","No"
"Jordan","Yes"
"Dominican Republic","Yes"
"United Arab Emirates","Yes"
"Cuba","Yes"
"Honduras","Yes"
"Czech Republic","No"
"Sweden","No"
"Tajikistan","Yes"
"Papua New Guinea","Yes"
"Portugal","No"
"Azerbaijan","No"
"Greece","No"
"Hungary","No"
"Togo","Yes"
"Israel","No"
"Austria","No"
"Belarus","No"
"Switzerland","No"
"Sierra Leone","Yes"
"Laos","Yes"
"Turkmenistan","Yes"
"Libya","Yes"
"Kyrgyzstan","No"
"Paraguay","Yes"
"Nicaragua","Yes"
"Bulgaria","No"
"Serbia","No"
"El Salvador","Yes"
"Republic of the Congo","Yes"
"Denmark","No"
"Singapore","Yes"
"Lebanon","Yes"
"Finland","No"
"Liberia","Yes"
"Norway","No"
"Slovakia","No"
"Palestine","Yes"
"Central African Republic","Yes"
"Oman","Yes"
"Ireland","No"
"New Zealand","No"
"Mauritania","Yes"
"Costa Rica","Yes"
"Kuwait","Yes"
"Panama","Yes"
"Croatia","No"
"Georgia","No"
"Eritrea","Yes"
"Mongolia","Yes"
"Uruguay","Yes"
"Bosnia and Herzegovina","Yes"
"Qatar","Yes"
"Moldova","No"
"Namibia","Yes"
"Armenia","No"
"Lithuania","No"
"Jamaica","Yes"
"Albania","No"
"Gambia","Yes"
"Gabon","Yes"
"Botswana","Yes"
"Lesotho","Yes"
"Guinea-Bissau","Yes"
"Slovenia","No"
"Equatorial Guinea","Yes"
"Latvia","No"
"North Macedonia","No"
"Bahrain","Yes"
"Trinidad and Tobago","Yes"
"Timor-Leste","Yes"
"Estonia","No"
"Cyprus","No"
"Mauritius","Yes"
"Eswatini","Yes"
"Djibouti","Yes"
"Fiji","Yes"
"Comoros","Yes"
"Guyana","Yes"
"Solomon Islands","Yes"
"Bhutan","Yes"
"Luxembourg","No"
"Montenegro","No"
"Suriname","Yes"
"Malta","No"
"Maldives","Yes"
"Cape Verde","Yes"
"Brunei","Yes"
"Belize","Yes"
"Bahamas","Yes"
"Iceland","No"
"Vanuatu","Yes"
"Barbados","Yes"
"Sao Tome and Principe","Yes"
"Samoa","Yes"
"Saint Lucia","Yes"
"Kiribati","Yes"
"Seychelles","Yes"
"Grenada","Yes"
"Micronesia","Yes"
"Tonga","Yes"
"Saint Vincent and the Grenadines","Yes"
"Antigua and Barbuda","Yes"
"Andorra","No"
"Dominica","Yes"
"Saint Kitts and Nevis","Yes"
"Liechtenstein","No"
"Monaco","No"
"Marshall Islands","Yes"
"San Marino","No"
"Palau","No"
"Nauru","Yes"
"Tuvalu","No"
"Vatican City","No"
