"ISO3","COUNTRY/ENTITY","AMOUNT","DATE"
"AFG","Afghanistan","617210","2019"
"AFG","Afghanistan","1414419","2020"
"AFG","Afghanistan","1187368","2021"
"AFG","Afghanistan","1484090","2022"
"AFG","Afghanistan","1030644","2023"
"AFG","Afghanistan","1151627","2024"
"AFG","Afghanistan","750585","2025"
"ALB","Albania","1060899","2019"
"ALB","Albania","1014881","2020"
"ALB","Albania","1008282","2021"
"ALB","Albania","1234820","2022"
"ALB","Albania","1049406","2023"
"ALB","Albania","1009204","2024"
"ALB","Albania","834262","2025"
"DZA","Algeria","994681","2019"
"DZA","Algeria","1237618","2020"
"DZA","Algeria","1261922","2021"
"DZA","Algeria","1224913","2022"
"DZA","Algeria","1156870","2023"
"DZA","Algeria","1226517","2024"
"DZA","Algeria","754591","2025"
"AGO","Angola","1785639","2019"
"AGO","Angola","1517618","2020"
"AGO","Angola","1863733","2021"
"AGO","Angola","2008195","2022"
"AGO","Angola","1749919","2023"
"AGO","Angola","1802139","2024"
"AGO","Angola","1187663","2025"
"ARG","Argentina","604920","2019"
"ARG","Argentina","1350800","2020"
"ARG","Argentina","1299654","2021"
"ARG","Argentina","1281298","2022"
"ARG","Argentina","1276087","2023"
"ARG","Argentina","1457609","2024"
"ARG","Argentina","1037307","2025"
"ARM","Armenia","917092","2019"
"ARM","Armenia","1000490","2020"
"ARM","Armenia","845161","2021"
"ARM","Armenia","976352","2022"
"ARM","Armenia","984863","2023"
"ARM","Armenia","1124381","2024"
"ARM","Armenia","782717","2025"
"AZE","Azerbaijan","1231115","2019"
"AZE","Azerbaijan","1143871","2020"
"AZE","Azerbaijan","1041051","2021"
"AZE","Azerbaijan","1274625","2022"
"AZE","Azerbaijan","1142542","2023"
"AZE","Azerbaijan","1270309","2024"
"AZE","Azerbaijan","757700","2025"
"BHR","Bahrain","1069777","2019"
"BHR","Bahrain","904258","2020"
"BHR","Bahrain","1024538","2021"
"BHR","Bahrain","1603382","2022"
"BHR","Bahrain","1226663","2023"
"BHR","Bahrain","1236135","2024"
"BHR","Bahrain","720421","2025"
"BGD","Bangladesh","1188683","2019"
"BGD","Bangladesh","1440543","2020"
"BGD","Bangladesh","1499715","2021"
"BGD","Bangladesh","1316443","2022"
"BGD","Bangladesh","1219815","2023"
"BGD","Bangladesh","1389184","2024"
"BGD","Bangladesh","859776","2025"
"BRB","Barbados","1519713","2019"
"BRB","Barbados","1887388","2020"
"BRB","Barbados","2167748","2021"
"BRB","Barbados","2954451","2022"
"BRB","Barbados","2787031","2023"
"BRB","Barbados","2861258","2024"
"BRB","Barbados","1920125","2025"
"BLR","Belarus","1147798","2019"
"BLR","Belarus","1163942","2020"
"BLR","Belarus","1337966","2021"
"BLR","Belarus","1229270","2022"
"BLR","Belarus","753698","2023"
"BLR","Belarus","1181821","2024"
"BLR","Belarus","688126","2025"
"BLZ","Belize","328199","2019"
"BLZ","Belize","553367","2020"
"BLZ","Belize","623981","2021"
"BLZ","Belize","634964","2022"
"BLZ","Belize","621012","2023"
"BLZ","Belize","516420","2024"
"BLZ","Belize","378874","2025"
"BEN","Benin","1035092","2019"
"BEN","Benin","1048976","2020"
"BEN","Benin","1022356","2021"
"BEN","Benin","1060018","2022"
"BEN","Benin","930481","2023"
"BEN","Benin","1138858","2024"
"BEN","Benin","603184","2025"
"BTN","Bhutan","1017077","2019"
"BTN","Bhutan","959912","2020"
"BTN","Bhutan","987544","2021"
"BTN","Bhutan","1147014","2022"
"BTN","Bhutan","778908","2023"
"BTN","Bhutan","1154300","2024"
"BTN","Bhutan","618175","2025"
"BOL","Bolivia, Plurinational State of","1105271","2019"
"BOL","Bolivia, Plurinational State of","1450116","2020"
"BOL","Bolivia, Plurinational State of","1148008","2021"
"BOL","Bolivia, Plurinational State of","1324172","2022"
"BOL","Bolivia, Plurinational State of","920782","2023"
"BOL","Bolivia, Plurinational State of","1059974","2024"
"BOL","Bolivia, Plurinational State of","611388","2025"
"BIH","Bosnia and Herzegovina","924184","2019"
"BIH","Bosnia and Herzegovina","1300979","2020"
"BIH","Bosnia and Herzegovina","1092111","2021"
"BIH","Bosnia and Herzegovina","1166503","2022"
"BIH","Bosnia and Herzegovina","1123223","2023"
"BIH","Bosnia and Herzegovina","1165450","2024"
"BIH","Bosnia and Herzegovina","786669","2025"
"BWA","Botswana","320856","2019"
"BWA","Botswana","1247620","2020"
"BWA","Botswana","1218939","2021"
"BWA","Botswana","1240232","2022"
"BWA","Botswana","1085801","2023"
"BWA","Botswana","1042962","2024"
"BWA","Botswana","1018660","2025"
"BRA","Brazil","1065529","2019"
"BRA","Brazil","1143960","2020"
"BRA","Brazil","1095946","2021"
"BRA","Brazil","1399716","2022"
"BRA","Brazil","1456609","2023"
"BRA","Brazil","1208077","2024"
"BRA","Brazil","838617","2025"
"BFA","Burkina Faso","881516","2019"
"BFA","Burkina Faso","1094709","2020"
"BFA","Burkina Faso","1111771","2021"
"BFA","Burkina Faso","1311308","2022"
"BFA","Burkina Faso","1189612","2023"
"BFA","Burkina Faso","1205288","2024"
"BFA","Burkina Faso","861149","2025"
"BDI","Burundi","1366024","2019"
"BDI","Burundi","1156813","2020"
"BDI","Burundi","1662977","2021"
"BDI","Burundi","1793406","2022"
"BDI","Burundi","1231960","2023"
"BDI","Burundi","1256681","2024"
"BDI","Burundi","842735","2025"
"CPV","Cape Verde","980991","2019"
"CPV","Cape Verde","1124988","2020"
"CPV","Cape Verde","1215146","2021"
"CPV","Cape Verde","1333650","2022"
"CPV","Cape Verde","1185408","2023"
"CPV","Cape Verde","1155211","2024"
"CPV","Cape Verde","689311","2025"
"KHM","Cambodia","1087510","2019"
"KHM","Cambodia","1217368","2020"
"KHM","Cambodia","1273926","2021"
"KHM","Cambodia","1142310","2022"
"KHM","Cambodia","1106520","2023"
"KHM","Cambodia","1065622","2024"
"KHM","Cambodia","680337","2025"
"CMR","Cameroon","1413625","2019"
"CMR","Cameroon","1523348","2020"
"CMR","Cameroon","1323230","2021"
"CMR","Cameroon","1281121","2022"
"CMR","Cameroon","1359953","2023"
"CMR","Cameroon","1358321","2024"
"CMR","Cameroon","877071","2025"
"CAF","Central African Republic","1002155","2019"
"CAF","Central African Republic","1202488","2020"
"CAF","Central African Republic","992272","2021"
"CAF","Central African Republic","1274421","2022"
"CAF","Central African Republic","1021868","2023"
"CAF","Central African Republic","1199569","2024"
"CAF","Central African Republic","753170","2025"
"TCD","Chad","1386961","2019"
"TCD","Chad","1591276","2020"
"TCD","Chad","1722159","2021"
"TCD","Chad","1924577","2022"
"TCD","Chad","1676822","2023"
"TCD","Chad","1611177","2024"
"TCD","Chad","1197685","2025"
"CHL","Chile","1353695","2019"
"CHL","Chile","1353976","2020"
"CHL","Chile","1500515","2021"
"CHL","Chile","1569336","2022"
"CHL","Chile","1545012","2023"
"CHL","Chile","1393031","2024"
"CHL","Chile","982458","2025"
"CHN","China","1571476","2019"
"CHN","China","1882830","2020"
"CHN","China","2220104","2021"
"CHN","China","1841802","2022"
"CHN","China","2115894","2023"
"CHN","China","1683022","2024"
"CHN","China","1379741","2025"
"COL","Colombia","951308","2019"
"COL","Colombia","1002417","2020"
"COL","Colombia","1128518","2021"
"COL","Colombia","1139015","2022"
"COL","Colombia","1257889","2023"
"COL","Colombia","1515824","2024"
"COL","Colombia","980235","2025"
"COM","Comoros","934852","2019"
"COM","Comoros","1331445","2020"
"COM","Comoros","1500609","2021"
"COM","Comoros","1199268","2022"
"COM","Comoros","1188998","2023"
"COM","Comoros","1119232","2024"
"COM","Comoros","651623","2025"
"COG","Congo","876086","2019"
"COG","Congo","1297584","2020"
"COG","Congo","1537763","2021"
"COG","Congo","1145306","2022"
"COG","Congo","1049489","2023"
"COG","Congo","1044821","2024"
"COG","Congo","696434","2025"
"COD","Congo, The Democratic Republic of the","1192660","2019"
"COD","Congo, The Democratic Republic of the","1157609","2020"
"COD","Congo, The Democratic Republic of the","1363231","2021"
"COD","Congo, The Democratic Republic of the","1287006","2022"
"COD","Congo, The Democratic Republic of the","1168371","2023"
"COD","Congo, The Democratic Republic of the","1800955","2024"
"COD","Congo, The Democratic Republic of the","1130202","2025"
"CRI","Costa Rica","1353940","2019"
"CRI","Costa Rica","1475469","2020"
"CRI","Costa Rica","1331001","2021"
"CRI","Costa Rica","1409272","2022"
"CRI","Costa Rica","1292613","2023"
"CRI","Costa Rica","1370653","2024"
"CRI","Costa Rica","961417","2025"
"CIV","Côte d"Ivoire","1237595","2019"
"CIV","Côte d"Ivoire","2124579","2020"
"CIV","Côte d"Ivoire","1363872","2021"
"CIV","Côte d"Ivoire","1485059","2022"
"CIV","Côte d"Ivoire","1664253","2023"
"CIV","Côte d"Ivoire","1410929","2024"
"CIV","Côte d"Ivoire","891158","2025"
