Country,Year,Number below $2.15 a day
Albania,2023,604
Algeria,2023,
Angola,2023,9790093
Armenia,2023,21718
Australia,2023,124091
Austria,2023,43509
Azerbaijan,2023,
Bangladesh,2023,8573862
Belarus,2023,0
Belgium,2023,3472
Belize,2023,
Benin,2023,1687600
Bhutan,2023,12
Bolivia,2023,237301
Bosnia and Herzegovina,2023,
Botswana,2023,
Brazil,2023,7547388
Bulgaria,2023,48085
Burkina Faso,2023,5683460
Burundi,2023,7615392
Cameroon,2023,6363852
Canada,2023,93491
Cape Verde,2023,
Central African Republic,2023,3583522
Chad,2023,5466798
Chile,2023,77445
China,2023,0
Colombia,2023,3131400
Comoros,2023,
Congo,2023,
Costa Rica,2023,46004
Cote d'Ivoire,2023,2724318
Croatia,2023,11947
Cyprus,2023,66
Czechia,2023,6288
Democratic Republic of Congo,2023,73300160
Denmark,2023,9001
Djibouti,2023,
Dominican Republic,2023,85022
East Timor,2023,
Ecuador,2023,690953
Egypt,2023,1561089
El Salvador,2023,213118
Estonia,2023,4116
Eswatini,2023,
Ethiopia,2023,
Fiji,2023,12112
Finland,2023,1183
France,2023,38190
Gabon,2023,
Gambia,2023,444721
Georgia,2023,158485
Germany,2023,202743
Ghana,2023,
Greece,2023,59937
Grenada,2023,388
Guatemala,2023,
Guinea,2023,1757392
Guinea-Bissau,2023,543754
Guyana,2023,
Haiti,2023,
Honduras,2023,1269053
Hungary,2023,38994
Iceland,2023,
India,2023,182129744
Indonesia,2023,5038737
Iran,2023,415483
Iraq,2023,
Ireland,2023,3198
Israel,2023,22700
Italy,2023,481658
Jamaica,2023,8759
Japan,2023,
Jordan,2023,
Kazakhstan,2023,3362
Kenya,2023,19159440
Kiribati,2023,2095
Kosovo,2023,
Kyrgyzstan,2023,21658
Laos,2023,510390
Latvia,2023,7487
Lebanon,2023,
Lesotho,2023,
Liberia,2023,
Lithuania,2023,7019
Luxembourg,2023,320
Madagascar,2023,
Malawi,2023,13329276
Malaysia,2023,0
Maldives,2023,0
Mali,2023,4648860
Malta,2023,1318
Marshall Islands,2023,377
Mauritania,2023,238428
Mauritius,2023,
Mexico,2023,1504140
Micronesia (country),2023,
Moldova,2023,0
Mongolia,2023,7592
Montenegro,2023,12243
Morocco,2023,
Mozambique,2023,23183408
Myanmar,2023,
Namibia,2023,
Nauru,2023,
Nepal,2023,112627
Netherlands,2023,12224
Nicaragua,2023,
Niger,2023,13023112
Nigeria,2023,62367092
North Macedonia,2023,55310
Norway,2023,8371
Pakistan,2023,10925983
Palestine,2023,
Panama,2023,57558
Papua New Guinea,2023,
Paraguay,2023,90154
Peru,2023,904545
Philippines,2023,7691626
Poland,2023,40586
Portugal,2023,23470
Qatar,2023,
Romania,2023,335983
Russia,2023,14837
Rwanda,2023,
Saint Lucia,2023,
Samoa,2023,
Sao Tome and Principe,2023,
Senegal,2023,1706314
Serbia,2023,84939
Seychelles,2023,495
Sierra Leone,2023,2048810
Slovakia,2023,5528
Slovenia,2023,0
Solomon Islands,2023,
South Africa,2023,
South Korea,2023,0
South Sudan,2023,
Spain,2023,267544
Sri Lanka,2023,209006
Sudan,2023,
Suriname,2023,6825
Sweden,2023,65545
Switzerland,2023,3213
Syria,2023,5495012
Taiwan,2023,0
Tajikistan,2023,
Tanzania,2023,26045692
Thailand,2023,10004
Togo,2023,2332972
Tonga,2023,20
Trinidad and Tobago,2023,
Tunisia,2023,33626
Turkey,2023,372659
Turkmenistan,2023,
Tuvalu,2023,
Uganda,2023,18480600
Ukraine,2023,12721
United Arab Emirates,2023,0
United Kingdom,2023,164282
United States,2023,4163380
Uruguay,2023,5311
Uzbekistan,2023,803185
Vanuatu,2023,30481
Venezuela,2023,
Vietnam,2023,946320
Yemen,2023,
Zambia,2023,12881325
Zimbabwe,2023,6104153
