id,amountUSD,fullParkedAmountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,sourceObjects,destinationObjects,boundary,onBoundary,reportDetails,refCode
224913,2654006,2654006.0,2020,,financial,2020-12-08T02:25:33.137Z,2020-12-07T00:00:00Z,2020-12-07T00:00:00Z,"Adolescents and young adults, especially girls and young women, are agents of change and contribute to a protective environment through improved skills and opportunities.",,0.837,2020-12-07T00:00:00Z,Parked,['Multiyear'],True,2221403.0,EUR,Traditional aid,,commitment,2020-12-08T14:55:39.882Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '41', 'name': '2020', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '3369', 'name': 'Plan International', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['International NGOs'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '19', 'name': 'Bangladesh', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '41', 'name': '2020', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2020-12-07T00:00:00.000Z'}]",2020.1877.8
225486,2389486,2389486.0,2020,,financial,2020-12-16T02:25:56.458Z,2020-12-15T00:00:00Z,2020-12-15T00:00:00Z,"The goal of the IA is to identify, promote and scale new, innovative ideas and approaches for a world without hunger.",,0.837,2020-12-15T00:00:00Z,Parked,['Multiyear'],True,2000000.0,EUR,Traditional aid,,commitment,2020-12-17T09:03:43.806Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '41', 'name': '2020', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '3049', 'name': 'World Food Programme', 'behavior': 'single', 'organizationTypes': ['Multilateral Organizations'], 'organizationSubTypes': ['UN Agencies'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '221', 'name': 'Tanzania, United Republic of', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2020-12-15T00:00:00.000Z'}]",2020.1883.6
225628,0,34216182.0,2021,"[265099, 265100, 225630, 265098, 225629]",financial,2020-12-18T02:25:27.292Z,2020-12-17T00:00:00Z,2020-12-17T00:00:00Z,"Medical primary healthcare for conflict affected in Al-Hudaydah, Hajjah, Saada, Abyan und Lahj
--- GFFO",['tightly earmarked'],0.837,2020-12-17T00:00:00Z,Parked,"['Multiyear', 'GFFO']",True,0.0,EUR,Traditional aid,,paid,2025-01-16T14:11:17.551Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '41', 'name': '2020', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '4695', 'name': 'Adventist Development and Relief Agency', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['International NGOs'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '248', 'name': 'Yemen', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2020-12-17T00:00:00.000Z'}]",AA-S09 321.50 YEM 01/21
231190,0,11723329.0,2021,"[231193, 231194, 231195, 231191, 231192]",financial,2021-05-01T02:25:41.225Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening resilient communities through food security and agriculture,['earmarked'],0.853,2021-04-30T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2024-12-18T22:04:39.983Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '2987', 'name': 'Deutsche Gesellschaft für Internationale Zusammenarbeit', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['International Government Entities'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-04-30T00:00:00.000Z'}]",222 E6050 SSD 1
231195,2344666,,2025,,financial,2023-02-11T02:26:46.254Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening resilient communities through food security and agriculture,['earmarked'],0.853,2021-04-30T00:00:00Z,Standard,['Multiyear'],True,2000000.0,EUR,Traditional aid,231190.0,commitment,2024-12-18T22:04:39.839Z,2,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Plan', 'id': '1223', 'name': 'South Sudan Humanitarian Needs and Response Plan 2025', 'behavior': 'single'}, {'type': 'Organization', 'id': '2987', 'name': 'Deutsche Gesellschaft für Internationale Zusammenarbeit', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['International Government Entities'], 'organizationLevels': ['International Actors']}, {'type': 'Cluster', 'id': '7813', 'name': 'Food Security and Livelihoods', 'behavior': 'single'}, {'type': 'GlobalCluster', 'id': '6', 'name': 'Food Security', 'behavior': 'single'}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'single'}]",incoming,single,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2023-02-09T00:00:00.000Z'}]",222 E6050 SSD 1
231201,0,2633262.0,2021,"[231208, 231202, 231207, 231203, 231206]",financial,2021-05-01T02:25:43.375Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening food security and resilience,['softly earmarked'],0.938,2021-04-30T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2023-07-26T07:26:05.812Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '2992', 'name': 'German Red Cross', 'behavior': 'single', 'organizationTypes': ['Red Cross/Red Crescent Organizations'], 'organizationSubTypes': ['International Red Cross/Red Crescent Movement'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-04-30T00:00:00.000Z'}]",222 E6050 SSD-0032/001
231208,426439,,2025,,financial,2023-02-11T02:26:54.297Z,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,Strengthening food security and resilience,['softly earmarked'],0.938,2021-04-30T00:00:00Z,Standard,['Multiyear'],True,400000.0,EUR,Traditional aid,231201.0,commitment,2023-07-26T07:25:36.134Z,2,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '2992', 'name': 'German Red Cross', 'behavior': 'single', 'organizationTypes': ['Red Cross/Red Crescent Organizations'], 'organizationSubTypes': ['International Red Cross/Red Crescent Movement'], 'organizationLevels': ['International Actors']}, {'type': 'GlobalCluster', 'id': '8', 'name': 'Logistics', 'behavior': 'single'}, {'type': 'Location', 'id': '211', 'name': 'South Sudan', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'single'}]",incoming,single,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2023-02-09T00:00:00.000Z'}]",222 E6050 SSD-0032/001
232494,0,12033171.0,2021,"[232499, 232500, 256524, 256526, 232496, 329406, 232497, 329855, 329407, 232495, 232498, 329408, 256525, 256527]",financial,2021-06-03T02:25:48.386Z,2021-06-02T00:00:00Z,2021-06-02T00:00:00Z,"Primary health care and food assistance for vulnerable groups affected by crises, migration and malnutrition in Colombia and Haiti",['softly earmarked'],0.82,2021-06-02T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2025-03-10T12:23:55.128Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}]","[{'type': 'Organization', 'id': '173', 'name': 'Malteser International Order of Malta World Relief', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['International NGOs'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '96', 'name': 'Haiti', 'behavior': 'shared'}, {'type': 'Location', 'id': '49', 'name': 'Colombia', 'behavior': 'shared'}, {'type': 'Location', 'id': '242', 'name': 'Venezuela, Bolivarian Republic of', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-06-02T00:00:00.000Z'}]",AA-S09 321.50 LAK 01/21
232980,0,10842940.0,2021,"[232981, 232983, 232982, 337465, 337471]",financial,2021-06-11T02:25:37.259Z,2021-06-10T00:00:00Z,2021-06-10T00:00:00Z,Protection for refugees in Northern Lebanon,['earmarked'],0.913,2021-06-10T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2025-02-25T10:43:31.903Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}]","[{'type': 'Organization', 'id': '3001', 'name': 'International Rescue Committee', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['International NGOs'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '124', 'name': 'Lebanon', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-06-10T00:00:00.000Z'}]",AA-S09-321.50 SYR 15/21
234582,0,7976134.0,2021,"[234583, 234587, 301330, 301327, 234586, 301328, 301329, 234588, 234585, 234584]",financial,2021-07-02T02:25:22.521Z,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,Emergency aid for refugees and displaced persons in Burkina Faso and Mali,['unearmarked'],0.838,2021-07-01T00:00:00Z,Parked,['Multiyear'],True,0.0,EUR,Traditional aid,,commitment,2025-01-28T08:53:45.510Z,1,"[{'type': 'Organization', 'id': '4306', 'name': 'Germany, Government of', 'behavior': 'single', 'organizationTypes': ['Governments'], 'organizationSubTypes': ['National Governments'], 'organizationLevels': ['National and Sub-National State Actors']}, {'type': 'Location', 'id': '83', 'name': 'Germany', 'behavior': 'single'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'single'}]","[{'type': 'Organization', 'id': '3162', 'name': 'Caritas Germany (DCV)', 'behavior': 'single', 'organizationTypes': ['NGOs'], 'organizationSubTypes': ['Internationally Affiliated Organizations'], 'organizationLevels': ['International Actors']}, {'type': 'Location', 'id': '36', 'name': 'Burkina Faso', 'behavior': 'shared'}, {'type': 'Location', 'id': '137', 'name': 'Mali', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '44', 'name': '2023', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '43', 'name': '2022', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '42', 'name': '2021', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '45', 'name': '2024', 'behavior': 'shared'}, {'type': 'UsageYear', 'id': '46', 'name': '2025', 'behavior': 'shared'}]",incoming,shared,"[{'sourceType': 'Primary', 'organization': 'Germany, Government of', 'reportChannel': 'From EDRIS', 'date': '2021-07-01T00:00:00.000Z'}]",BFAA-321.50 MLI 01/21
