id,score,href,fields.id,fields.uuid,fields.name,fields.status,fields.shortname,fields.homepage,fields.content_type,fields.type.id,fields.type.name,fields.country,fields.url,fields.url_alias,fields.date.changed,fields.date.created,fields.description,fields.redirects,fields.description-html,fields.longname,fields.logo.id,fields.logo.width,fields.logo.height,fields.logo.url,fields.logo.filename,fields.logo.mimetype,fields.logo.filesize,fields.spanish_name,fields.disclaimer
47419,1,https://api.reliefweb.int/v1/sources/47419,47419,1c11963b-0fc7-43c2-9cdd-82c77ef20263,11.11.11,inactive,11.11.11,https://www.11.be/en/,['job'],275,Other,"[{'href': 'https://api.reliefweb.int/v1/countries/34', 'id': 34, 'name': 'Belgium', 'shortname': 'Belgium', 'iso3': 'bel', 'location': {'lat': 50.64, 'lon': 4.66}}]",https://reliefweb.int/taxonomy/term/47419,https://reliefweb.int/organization/111111,2025-03-12T08:42:00+00:00,2019-01-28T17:18:02+00:00,,,,,,,,,,,,,
52175,1,https://api.reliefweb.int/v1/sources/52175,52175,79db0d7c-7a01-41d5-9625-836ba652474e,360 Consulting,active,360 Consulting,https://360consultingagency.com/,['report'],275,Other,"[{'href': 'https://api.reliefweb.int/v1/countries/137', 'id': 137, 'name': 'Lebanon', 'shortname': 'Lebanon', 'iso3': 'lbn', 'location': {'lat': 33.92, 'lon': 35.89}}]",https://reliefweb.int/taxonomy/term/52175,https://reliefweb.int/organization/360-consulting,2024-10-11T16:02:49+00:00,2024-10-11T16:02:49+00:00,,,,,,,,,,,,,
50943,1,https://api.reliefweb.int/v1/sources/50943,50943,22528310-8b2a-441e-91d6-d67e511fbd79,360 Health Systems Diagnostics and Correction,inactive,360HSDC,https://360hsdc.org/,['job'],275,Other,"[{'href': 'https://api.reliefweb.int/v1/countries/175', 'id': 175, 'name': 'Nigeria', 'shortname': 'Nigeria', 'iso3': 'nga', 'location': {'lat': 9.59, 'lon': 8.11}}]",https://reliefweb.int/taxonomy/term/50943,https://reliefweb.int/organization/360hsdc,2024-07-10T08:42:01+00:00,2021-11-22T14:59:47+00:00,,,,,,,,,,,,,
51822,1,https://api.reliefweb.int/v1/sources/51822,51822,b0ded3b7-f78b-44f6-9893-a76b1e81cb05,3iS,active,3iS,https://3is.org/,"['job', 'report', 'training']",274,Non-governmental Organization,"[{'href': 'https://api.reliefweb.int/v1/countries/92', 'id': 92, 'name': 'France', 'shortname': 'France', 'iso3': 'fra', 'location': {'lat': 47.82, 'lon': 2.62}}]",https://reliefweb.int/taxonomy/term/51822,https://reliefweb.int/organization/3is,2024-12-18T08:58:16+00:00,2023-11-22T19:55:01+00:00,"3iS's mission is to lead and facilitate the understanding of information through an innovative approach, using advances in technology to drive strategic and transformational decisions that improve the lives of people and the success of decision makers. We use data and innovative technology solutions to generate knowledge, empowering organizational leaders and change agents to achieve their objectives in development environments, crisis situations and organizational growth.  

3iS's vision envisions a future where the convergence of strategic information, strategic innovation and pioneering technology enables individuals, organizations and agencies to reach their full potential. We envision scenarios where timely and reliable information is the engine that drives organizational success and continuous improvement, thus transforming not only individual lives, but also entire communities and societies towards sustainable progress and self-directed learning.",['https://reliefweb.int/organization/3isolution'],"<p>3iS's mission is to lead and facilitate the understanding of information through an innovative approach, using advances in technology to drive strategic and transformational decisions that improve the lives of people and the success of decision makers. We use data and innovative technology solutions to generate knowledge, empowering organizational leaders and change agents to achieve their objectives in development environments, crisis situations and organizational growth.</p>
<p>3iS's vision envisions a future where the convergence of strategic information, strategic innovation and pioneering technology enables individuals, organizations and agencies to reach their full potential. We envision scenarios where timely and reliable information is the engine that drives organizational success and continuous improvement, thus transforming not only individual lives, but also entire communities and societies towards sustainable progress and self-directed learning.</p>
",,,,,,,,,,
51845,1,https://api.reliefweb.int/v1/sources/51845,51845,5fe478d6-d03c-4294-90d4-969758db0de2,5Rights Foundation,inactive,5Rights Foundation,https://5rightsfoundation.com/,['job'],274,Non-governmental Organization,"[{'href': 'https://api.reliefweb.int/v1/countries/243', 'id': 243, 'name': 'United Kingdom of Great Britain and Northern Ireland', 'shortname': 'UK', 'iso3': 'gbr', 'location': {'lat': 52.58, 'lon': -1.43}}]",https://reliefweb.int/taxonomy/term/51845,https://reliefweb.int/organization/5rights-foundation,2024-07-10T08:42:01+00:00,2023-12-25T18:28:15+00:00,,,,,,,,,,,,,
52284,1,https://api.reliefweb.int/v1/sources/52284,52284,e019ef6e-8963-4685-9935-127f79c7de47,7amleh,active,7amleh,https://7amleh.org,['job'],274,Non-governmental Organization,"[{'href': 'https://api.reliefweb.int/v1/countries/125', 'id': 125, 'name': 'Israel', 'shortname': 'Israel', 'iso3': 'isr', 'location': {'lat': 31.09, 'lon': 34.87}}]",https://reliefweb.int/taxonomy/term/52284,https://reliefweb.int/organization/7amleh,2025-02-04T12:02:05+00:00,2025-02-04T12:00:18+00:00,"7amleh - The Arab Center for the Advancement of Social Media is a non-profit organization that advocates for Palestinian digital rights. 7amleh’s mission is to create a safe, fair, and free digital space for Palestinians. 7amleh monitors and researches issues related to Palestinian digital rights, provides digital security, digital advocacy, and capacity-building opportunities to Palestinian civil society, and manages both local and international advocacy campaigns.",,"<p>7amleh - The Arab Center for the Advancement of Social Media is a non-profit organization that advocates for Palestinian digital rights. 7amleh’s mission is to create a safe, fair, and free digital space for Palestinians. 7amleh monitors and researches issues related to Palestinian digital rights, provides digital security, digital advocacy, and capacity-building opportunities to Palestinian civil society, and manages both local and international advocacy campaigns.</p>
",Hamleh - The Arab Center for the Advancement of Social Media,,,,,,,,,
45124,1,https://api.reliefweb.int/v1/sources/45124,45124,2c856d9b-9be7-4c6b-be28-05dbe1988808,8Fold Capacity Limited,active,8Fold Capacity Ltd.,https://www.eightfoldcapacity.com/,['training'],275,Other,"[{'href': 'https://api.reliefweb.int/v1/countries/131', 'id': 131, 'name': 'Kenya', 'shortname': 'Kenya', 'iso3': 'ken', 'location': {'lat': 0.53, 'lon': 37.86}}]",https://reliefweb.int/taxonomy/term/45124,https://reliefweb.int/organization/8fold-capacity-ltd,2024-09-04T03:43:11+00:00,2018-06-11T07:54:51+00:00,"8Fold Capacity Ltd. is a leading provider of training and consultancy services for both corporate and not for profit organizations. We deliver services in the general area of leadership and management.

Training cannot be a one-time thing if the organization expects to survive and prosper. It has to be something that happens regularly – something that becomes part of the routine. If it doesn’t, we tend to forget about it.

VISION
To be a leader in providing Sustainable capacity building solutions Globally.

MISSION
To maximize human and organizational potential through innovative capacity building solutions that not only build capacity to perform but also builds capacity to continuously build own capacity.",['https://reliefweb.int/organization/eight-fold-capacity-limited'],"<p>8Fold Capacity Ltd. is a leading provider of training and consultancy services for both corporate and not for profit organizations. We deliver services in the general area of leadership and management.</p>
<p>Training cannot be a one-time thing if the organization expects to survive and prosper. It has to be something that happens regularly – something that becomes part of the routine. If it doesn’t, we tend to forget about it.</p>
<p>VISION
To be a leader in providing Sustainable capacity building solutions Globally.</p>
<p>MISSION
To maximize human and organizational potential through innovative capacity building solutions that not only build capacity to perform but also builds capacity to continuously build own capacity.</p>
",,1129689,50,50,https://reliefweb.int/sites/default/files/images/sources/07/6a/076a46c7-6f00-3be2-9ad2-fab86bdb4ee3.png,Eight Fold Capacity Relief.png,image/png,1085,,
48153,1,https://api.reliefweb.int/v1/sources/48153,48153,c758b286-5bdb-444d-bfc9-a2670c96d2a6,A Drop in the Ocean,inactive,Dråpen i Havet,https://www.drapenihavet.no/,['job'],274,Non-governmental Organization,"[{'href': 'https://api.reliefweb.int/v1/countries/179', 'id': 179, 'name': 'Norway', 'shortname': 'Norway', 'iso3': 'nor', 'location': {'lat': 61.25, 'lon': 8.8}}]",https://reliefweb.int/taxonomy/term/48153,https://reliefweb.int/organization/drapen-i-havet,2024-07-03T08:42:01+00:00,2019-05-03T15:03:45+00:00,,['https://reliefweb.int/organization/dr-pen-i-havet'],,A Drop in the Ocean,,,,,,,,,
751,1,https://api.reliefweb.int/v1/sources/751,751,e22126c3-fe13-4c8f-88e2-6d21e2c19462,A M Qattan Foundation,inactive,A.M. Qattan,http://www.qattanfoundation.org/en/,['job'],274,Non-governmental Organization,"[{'href': 'https://api.reliefweb.int/v1/countries/243', 'id': 243, 'name': 'United Kingdom of Great Britain and Northern Ireland', 'shortname': 'UK', 'iso3': 'gbr', 'location': {'lat': 52.58, 'lon': -1.43}}]",https://reliefweb.int/taxonomy/term/751,https://reliefweb.int/organization/am-qattan,2025-03-12T08:42:00+00:00,1996-10-01T00:00:00+00:00,,,,A.M. Qattan Foundation,,,,,,,,,
357,1,https://api.reliefweb.int/v1/sources/357,357,8682c53f-ee6d-4f1f-94e5-c892b687c321,A.S.I.A Onlus,inactive,A.S.I.A Onlus,http://www.asia-onlus.org/,['job'],274,Non-governmental Organization,"[{'href': 'https://api.reliefweb.int/v1/countries/126', 'id': 126, 'name': 'Italy', 'shortname': 'Italy', 'iso3': 'ita', 'location': {'lat': 42.5, 'lon': 12.65}}]",https://reliefweb.int/taxonomy/term/357,https://reliefweb.int/organization/asia-onlus,2025-03-12T08:42:00+00:00,1996-10-01T00:00:00+00:00,,,,Association for International Solidarity in Asia,,,,,,,,,
