iso3,country_entity,amount,date,country,region_code,region_name,sub_region_code,sub_region_name,intermediate_region_code,intermediate_region_name,m49_code,iso_alpha2_code,is_LDC,is_LLDC,is_SIDS,is_G77,is_EU,is_G20,is_AU,is_P5,is_UN_member,is_OECD,world_bank_income_group,world_bank_lending_category,UN_regional_group,oecd_is_fragile,worldbank_fragility,worldbank_is_fragile,has_rc,has_mco,has_unsdg_framework
AFG,Afghanistan,617210,2019,Afghanistan,142,Asia,034,Southern Asia,NA,NA,004,AF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low income,IDA,Asia-Pacific States,TRUE,Conflict,TRUE,TRUE,FALSE,TRUE
AFG,Afghanistan,1414419,2020,Afghanistan,142,Asia,034,Southern Asia,NA,NA,004,AF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low income,IDA,Asia-Pacific States,TRUE,Conflict,TRUE,TRUE,FALSE,TRUE
AFG,Afghanistan,1187368,2021,Afghanistan,142,Asia,034,Southern Asia,NA,NA,004,AF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low income,IDA,Asia-Pacific States,TRUE,Conflict,TRUE,TRUE,FALSE,TRUE
AFG,Afghanistan,1484090,2022,Afghanistan,142,Asia,034,Southern Asia,NA,NA,004,AF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low income,IDA,Asia-Pacific States,TRUE,Conflict,TRUE,TRUE,FALSE,TRUE
AFG,Afghanistan,1030644,2023,Afghanistan,142,Asia,034,Southern Asia,NA,NA,004,AF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low income,IDA,Asia-Pacific States,TRUE,Conflict,TRUE,TRUE,FALSE,TRUE
AFG,Afghanistan,1151627,2024,Afghanistan,142,Asia,034,Southern Asia,NA,NA,004,AF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low income,IDA,Asia-Pacific States,TRUE,Conflict,TRUE,TRUE,FALSE,TRUE
AFG,Afghanistan,750585,2025,Afghanistan,142,Asia,034,Southern Asia,NA,NA,004,AF,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low income,IDA,Asia-Pacific States,TRUE,Conflict,TRUE,TRUE,FALSE,TRUE
ALB,Albania,1060899,2019,Albania,150,Europe,039,Southern Europe,NA,NA,008,AL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Upper middle income,IBRD,Eastern European States,FALSE,NA,FALSE,TRUE,FALSE,TRUE
ALB,Albania,1014881,2020,Albania,150,Europe,039,Southern Europe,NA,NA,008,AL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Upper middle income,IBRD,Eastern European States,FALSE,NA,FALSE,TRUE,FALSE,TRUE
ALB,Albania,1008282,2021,Albania,150,Europe,039,Southern Europe,NA,NA,008,AL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Upper middle income,IBRD,Eastern European States,FALSE,NA,FALSE,TRUE,FALSE,TRUE
